date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:21	33920/33920	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:21%20GMT	https://botsbase.net/	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/index.html	(from )
10:21:21	68/68	---M--	200	added ('OK')	text/plain	date:Fri,%2004%20Dec%202020%2008:18:33%20GMT	https://botsbase.net/robots.txt		(from )
10:21:21	682/682	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:21%20GMT	https://botsbase.net/assets/img/logo.png	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/assets/img/logo.png	(from https://botsbase.net/)
10:21:22	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:21%20GMT	https://botsbase.net/404	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/404	(from https://botsbase.net/)
10:21:22	2869998/2869998	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202020%2015:46:21%20GMT	https://botsbase.net/assets/css/tailwind.min.css	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/assets/css/tailwind.min.css	(from https://botsbase.net/)
10:21:23	173842/173842	---M-Z	200	added ('OK')	text/css	etag:%224a11627ef528135908c58c6547674343%22	https://pro.fontawesome.com/releases/v5.13.1/css/all.css	C:/Benim%20Web%20Sitem/botlistsite/pro.fontawesome.com/releases/v5.13.1/css/all.css	(from https://botsbase.net/)
10:21:23	26528/26528	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267a0-QHSi3e0DiRvXFXlgnmOPpqWDbjo%22	https://cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	C:/Benim%20Web%20Sitem/botlistsite/cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	(from https://botsbase.net/)
10:21:23	2653/2653	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Dec%202020%2008:21:23%20GMT	https://use.typekit.net/wsc2hzy.css	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/wsc2hzy.css	(from https://botsbase.net/)
10:21:24	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Benim%20Web%20Sitem/botlistsite/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://botsbase.net/)
10:21:26	22360/22360	---M-Z	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:26%20GMT	https://botsbase.net/bots	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bots.8.delayed	(from https://botsbase.net/)
10:21:26	22360/22360	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:26%20GMT	https://botsbase.net/bots?page=1	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bots2679.html	(from https://botsbase.net/)
10:21:27	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:26%20GMT	https://botsbase.net/discord	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/discord	(from https://botsbase.net/)
10:21:27	682/682	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:27%20GMT	https://botsbase.net/certificate	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/certificate	(from https://botsbase.net/)
10:21:27	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:27%20GMT	https://botsbase.net/404	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/404	(from https://botsbase.net/)
10:21:27	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:27%20GMT	https://botsbase.net/auth/login	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/auth/login	(from https://botsbase.net/)
10:21:28	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:27%20GMT	https://botsbase.net/auth/auth.php?action=login	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/auth/auth456e.php	(from https://botsbase.net/)
10:21:28	22332/22332	---M-Z	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:28%20GMT	https://botsbase.net/tag/Moderation	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/tag/Moderation.10.delayed	(from https://botsbase.net/)
